name,rel_date,genres,rating,run_length,num_raters
The Dark Knight,2008-07-18,"Action, Crime, Drama",9.0,152,2224522
Inception,2010-07-16,"Action, Adventure, Sci-Fi",8.8,148,1981675
The Matrix,1999-03-31,"Action, Sci-Fi",8.7,136,1619761
The Lord of the Rings: The Fellowship of the Ring,2001-12-19,"Action, Adventure, Drama",8.8,178,1609165
The Dark Knight Rises,2012-07-20,"Action, Adventure",8.4,164,1470329
Gladiator,2000-05-05,"Action, Adventure, Drama",8.5,155,1297718
Batman Begins,2005-06-15,"Action, Adventure",8.2,140,1269027
The Avengers,2012-05-04,"Action, Adventure, Sci-Fi",8.0,143,1236048
Star Wars: Episode IV - A New Hope,1977-05-25,"Action, Adventure, Fantasy",8.6,121,1197132
Star Wars: Episode V - The Empire Strikes Back,1980-06-20,"Action, Adventure, Fantasy",8.7,124,1124834
Avatar,2009-12-18,"Action, Adventure, Fantasy",7.8,162,1096125
Guardians of the Galaxy,2014-08-01,"Action, Adventure, Comedy",8.0,121,1017405
V for Vendetta,2006-03-17,"Action, Drama, Sci-Fi",8.2,132,1002944
Léon: The Professional,1994-11-18,"Action, Crime, Drama",8.5,110,999596
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,"Action, Adventure, Fantasy",8.0,143,997264
Kill Bill: Vol. 1,2003-10-10,"Action, Crime, Thriller",8.1,111,970439
Terminator 2: Judgment Day,1991-07-03,"Action, Sci-Fi",8.5,137,968504
Star Wars: Episode VI - Return of the Jedi,1983-05-25,"Action, Adventure, Fantasy",8.3,131,922278
Iron Man,2008-05-02,"Action, Adventure, Sci-Fi",7.9,126,915640
Deadpool,2016-02-12,"Action, Adventure, Comedy",8.0,108,876091
Raiders of the Lost Ark,1981-06-12,"Action, Adventure",8.4,115,859523
Star Wars: Episode VII - The Force Awakens,2015-12-18,"Action, Adventure, Sci-Fi",7.9,138,841234
Jurassic Park,1993-06-11,"Action, Adventure, Sci-Fi",8.1,127,836793
The Hunger Games,2012-03-23,"Action, Adventure, Sci-Fi",7.2,142,826505
Avengers: Infinity War,2018-04-27,"Action, Adventure, Sci-Fi",8.4,149,784777
The Terminator,1984-10-26,"Action, Sci-Fi",8.0,107,779029
Die Hard,1988-07-20,"Action, Thriller",8.2,132,763300
Avengers: Endgame,2019-04-26,"Action, Adventure, Drama",8.4,181,736177
Iron Man 3,2013-05-03,"Action, Adventure, Sci-Fi",7.2,130,735568
Thor,2011-05-06,"Action, Adventure, Fantasy",7.0,115,726753
300,2007-03-09,"Action, Drama",7.6,117,719421
Captain America: The First Avenger,2011-07-22,"Action, Adventure, Sci-Fi",6.9,124,718921
Avengers: Age of Ultron,2015-05-01,"Action, Adventure, Sci-Fi",7.3,141,717521
Captain America: The Winter Soldier,2014-04-04,"Action, Adventure, Sci-Fi",7.7,136,714445
Star Wars: Episode I - The Phantom Menace,1999-05-19,"Action, Adventure, Fantasy",6.5,136,708990
Iron Man 2,2010-05-07,"Action, Adventure, Sci-Fi",7.0,124,701922
Star Wars: Episode III - Revenge of the Sith,2005-05-19,"Action, Adventure, Fantasy",7.5,140,690205
The Revenant,2016-01-08,"Action, Adventure, Drama",8.0,156,678829
Man of Steel,2013-06-14,"Action, Adventure, Sci-Fi",7.0,143,675229
Blade Runner,1982-06-25,"Action, Sci-Fi, Thriller",8.1,117,673121
Indiana Jones and the Last Crusade,1989-05-24,"Action, Adventure",8.2,127,672206
Spider-Man,2002-05-03,"Action, Adventure, Sci-Fi",7.3,121,671751
I Am Legend,2007-12-14,"Action, Adventure, Drama",7.2,101,670748
Kill Bill: Vol. 2,2004-04-16,"Action, Crime, Thriller",8.0,137,663568
X-Men: Days of Future Past,2014-05-23,"Action, Adventure, Sci-Fi",8.0,132,647269
How to Train Your Dragon,2010-03-26,"Animation, Action, Adventure",8.1,98,647266
Pirates of the Caribbean: Dead Man's Chest,2006-07-07,"Action, Adventure, Fantasy",7.3,151,641045
The Incredibles,2004-11-05,"Animation, Action, Adventure",8.0,115,638952
Captain America: Civil War,2016-05-06,"Action, Adventure, Sci-Fi",7.8,147,638731
Aliens,1986-07-18,"Action, Adventure, Sci-Fi",8.3,137,635164
X-Men: First Class,2011-06-03,"Action, Adventure, Sci-Fi",7.7,131,634147
District 9,2009-08-14,"Action, Sci-Fi, Thriller",7.9,112,627696
Star Wars: Episode II - Attack of the Clones,2002-05-16,"Action, Adventure, Fantasy",6.5,142,621911
Logan,2017-03-03,"Action, Drama, Sci-Fi",8.1,137,621174
Skyfall,2012-11-09,"Action, Adventure, Thriller",7.7,143,617644
Batman v Superman: Dawn of Justice,2016-03-25,"Action, Adventure, Sci-Fi",6.4,151,608225
The Hunger Games: Catching Fire,2013-11-22,"Action, Adventure, Mystery",7.5,146,600099
The Bourne Ultimatum,2007-08-03,"Action, Mystery, Thriller",8.0,115,595431
Black Panther,2018-02-16,"Action, Adventure, Sci-Fi",7.3,134,587388
Transformers,2007-07-03,"Action, Adventure, Sci-Fi",7.0,144,586895
World War Z,2013-06-21,"Action, Adventure, Horror",7.0,116,586801
Pirates of the Caribbean: At World's End,2007-05-25,"Action, Adventure, Fantasy",7.1,169,582275
Suicide Squad,2016-08-05,"Action, Adventure, Fantasy",6.0,123,581986
Edge of Tomorrow,2014-06-06,"Action, Adventure, Sci-Fi",7.9,113,581938
Thor: The Dark World,2013-11-08,"Action, Adventure, Fantasy",6.9,112,578425
Kingsman: The Secret Service,2015-02-13,"Action, Adventure, Comedy",7.7,129,575952
Doctor Strange,2016-11-04,"Action, Adventure, Fantasy",7.5,115,573177
Sherlock Holmes,2009-12-25,"Action, Adventure, Mystery",7.6,128,571401
Star Trek,2009-05-08,"Action, Adventure, Sci-Fi",7.9,127,570077
Casino Royale,2006-11-17,"Action, Adventure, Thriller",8.0,144,566966
Jurassic World,2015-06-12,"Action, Adventure, Sci-Fi",7.0,124,566272
X-Men,2000-07-14,"Action, Adventure, Sci-Fi",7.4,104,559246
Thor: Ragnarok,2017-11-03,"Action, Adventure, Comedy",7.9,130,557591
Taken,2009-01-30,"Action, Thriller",7.8,90,555820
Ant-Man,2015-07-17,"Action, Adventure, Comedy",7.3,117,549076
The Amazing Spider-Man,2012-07-03,"Action, Adventure, Sci-Fi",6.9,136,547661
Guardians of the Galaxy Vol. 2,2017-05-05,"Action, Adventure, Comedy",7.6,136,544357
Star Wars: Episode VIII - The Last Jedi,2017-12-15,"Action, Adventure, Fantasy",7.0,152,543307
Rogue One: A Star Wars Story,2016-12-16,"Action, Adventure, Sci-Fi",7.8,133,534483
Wonder Woman,2017-06-02,"Action, Adventure, Fantasy",7.4,141,531221
Spider-Man 2,2004-06-30,"Action, Adventure, Sci-Fi",7.3,127,529344
Looper,2012-09-28,"Action, Drama, Sci-Fi",7.4,113,523452
Dunkirk,2017-07-21,"Action, Drama, History",7.9,106,523089
"Lock, Stock and Two Smoking Barrels",1998-08-28,"Action, Comedy, Crime",8.2,107,521026
Independence Day,1996-07-03,"Action, Adventure, Sci-Fi",7.0,145,516789
Kick-Ass,2010-04-16,"Action, Comedy, Crime",7.6,117,515786
John Wick,2014-10-24,"Action, Crime, Thriller",7.4,101,514550
Men in Black,1997-07-02,"Action, Adventure, Comedy",7.3,98,504013
The Matrix Reloaded,2003-05-15,"Action, Sci-Fi",7.2,138,503184
X2: X-Men United,2003-05-02,"Action, Sci-Fi, Thriller",7.4,134,501725
21 Jump Street,2012-03-16,"Action, Comedy, Crime",7.2,109,499602
Oldboy,2003-11-21,"Action, Drama, Mystery",8.4,101,496687
The Bourne Identity,2002-06-14,"Action, Mystery, Thriller",7.9,119,496180
Minority Report,2002-06-21,"Action, Crime, Mystery",7.6,145,495543
Harry Potter and the Order of the Phoenix,2007-07-11,"Action, Adventure",7.5,138,489759
Spider-Man: Homecoming,2017-07-07,"Action, Adventure, Sci-Fi",7.4,133,488794
Rise of the Planet of the Apes,2011-08-05,"Action, Drama, Sci-Fi",7.6,105,488748
"I, Robot",2004-07-16,"Action, Drama, Sci-Fi",7.1,115,488324
Watchmen,2009-03-06,"Action, Drama, Mystery",7.6,162,487717
The Lord of the Rings: The Return of the King,2003-12-17,"Adventure, Drama, Fantasy",8.9,201,1593859
The Lord of the Rings: The Two Towers,2002-12-18,"Adventure, Drama, Fantasy",8.7,179,1440188
Interstellar,2014-11-07,"Adventure, Drama, Sci-Fi",8.6,169,1430797
Inglourious Basterds,2009-08-21,"Adventure, Drama, War",8.3,153,1219372
Back to the Future,1985-07-03,"Adventure, Comedy, Sci-Fi",8.5,116,1015004
WALL·E,2008-06-27,"Animation, Adventure",8.4,98,967917
Finding Nemo,2003-05-30,"Animation, Adventure, Comedy",8.1,100,922080
The Lion King,1994-06-24,"Animation, Adventure, Drama",8.5,88,910179
Up,2009-05-29,"Animation, Adventure, Comedy",8.2,96,905044
Toy Story,1995-11-22,"Animation, Adventure, Comedy",8.3,81,858215
"Monsters, Inc.",2001-11-02,"Animation, Adventure, Comedy",8.0,92,789773
The Hobbit: An Unexpected Journey,2012-12-14,"Adventure, Fantasy",7.8,169,743338
Harry Potter and the Deathly Hallows: Part 2,2011-07-15,"Adventure, Drama, Fantasy",8.1,130,737642
Toy Story 3,2010-06-18,"Animation, Adventure, Comedy",8.3,103,734948
The Martian,2015-10-02,"Adventure, Drama, Sci-Fi",8.0,144,734923
The Grand Budapest Hotel,2014-03-28,"Adventure, Comedy, Crime",8.1,99,681915
Ratatouille,2007-06-29,"Animation, Adventure, Comedy",8.0,111,620375
Harry Potter and the Sorcerer's Stone,2001-11-16,"Adventure, Fantasy",7.6,152,618786
Spirited Away,2003-03-28,"Animation, Adventure",8.6,125,618550
Shrek,2001-05-18,"Animation, Adventure, Comedy",7.8,90,596499
The Hobbit: The Desolation of Smaug,2013-12-13,"Adventure, Fantasy",7.8,161,588294
Inside Out,2015-06-19,"Animation, Adventure, Comedy",8.1,95,586923
2001: A Space Odyssey,1968-05-12,"Adventure, Sci-Fi",8.3,149,582718
Life of Pi,2012-11-21,"Adventure, Drama, Fantasy",7.9,127,567025
Prometheus,2012-06-08,"Adventure, Mystery, Sci-Fi",7.0,124,557986
Frozen,2013-11-27,"Animation, Adventure, Comedy",7.4,102,557241
Into the Wild,2007-10-19,"Adventure, Biography, Drama",8.1,148,556447
Jaws,1975-06-20,"Adventure, Thriller",8.0,124,531977
Harry Potter and the Chamber of Secrets,2002-11-15,"Adventure, Fantasy",7.4,161,531256
Harry Potter and the Prisoner of Azkaban,2004-06-04,"Adventure, Fantasy",7.9,142,528503
Harry Potter and the Goblet of Fire,2005-11-18,"Adventure, Fantasy",7.7,157,526115
Toy Story 2,1999-11-24,"Animation, Adventure, Comedy",7.9,92,511239
Despicable Me,2010-07-09,"Animation, Comedy",7.6,95,488575
Ice Age,2002-03-15,"Animation, Adventure, Comedy",7.5,81,428802
Zootopia,2016-03-04,"Animation, Adventure, Comedy",8.0,108,417226
Beauty and the Beast,1991-11-22,"Animation, Fantasy",8.0,84,408618
Shrek 2,2004-05-19,"Animation, Adventure, Comedy",7.2,93,407523
Kung Fu Panda,2008-06-06,"Animation, Action, Adventure",7.5,92,406720
Big Hero 6,2014-11-07,"Animation, Action, Adventure",7.8,102,398088
Tangled,2010-11-24,"Animation, Adventure, Comedy",7.7,100,393285
Wreck-It Ralph,2012-11-02,"Animation, Adventure, Comedy",7.7,101,369053
Brave,2012-06-22,"Animation, Adventure, Comedy",7.1,93,361913
Despicable Me 2,2013-07-03,"Animation, Adventure, Comedy",7.3,98,361388
Aladdin,1992-11-25,"Animation, Adventure, Comedy",8.0,90,360969
Madagascar,2005-05-27,"Animation, Adventure, Comedy",6.9,86,355365
Cars,2006-06-09,"Animation, Comedy",7.1,117,354991
Coco,2017-11-22,"Animation, Adventure",8.4,105,345200
Princess Mononoke,1997-12-19,"Animation, Adventure, Fantasy",8.4,134,326489
Spider-Man: Into the Spider-Verse,2018-12-14,"Animation, Action, Adventure",8.4,117,326477
The Lego Movie,2014-02-07,"Animation, Action, Adventure",7.7,100,317860
Howl's Moving Castle,2005-06-17,"Animation, Adventure",8.2,119,313971
Monsters University,2013-06-21,"Animation, Adventure, Comedy",7.3,104,311892
The Simpsons Movie,2007-07-27,"Animation, Adventure, Comedy",7.3,87,303713
How to Train Your Dragon 2,2014-06-13,"Animation, Action, Adventure",7.8,102,296544
The Nightmare Before Christmas,1993-10-29,"Animation, Fantasy",8.0,76,283685
My Neighbor Totoro,1990-07-13,"Animation, Fantasy",8.2,86,273795
Shrek the Third,2007-05-18,"Animation, Adventure, Comedy",6.1,93,272620
A Bug's Life,1998-11-25,"Animation, Adventure, Comedy",7.2,95,259956
Moana,2016-11-23,"Animation, Adventure, Comedy",7.6,107,256243
Ice Age: The Meltdown,2006-03-31,"Animation, Adventure, Comedy",6.8,91,249504
Kung Fu Panda 2,2011-05-26,"Animation, Action, Adventure",7.2,90,245225
Mulan,1998-06-19,"Animation, Adventure",7.6,88,242128
Incredibles 2,2018-06-15,"Animation, Action, Adventure",7.6,118,236249
Corpse Bride,2005-09-23,"Animation, Drama",7.3,77,235900
Finding Dory,2016-06-17,"Animation, Adventure, Comedy",7.3,97,231496
The Little Mermaid,1989-11-17,"Animation, Fantasy",7.6,83,229928
Rango,2011-03-04,"Animation, Adventure, Comedy",7.2,107,229568
Grave of the Fireflies,1989-07-26,"Animation, Drama, War",8.5,89,221955
Megamind,2010-11-05,"Animation, Action, Comedy",7.2,95,221204
Ice Age: Dawn of the Dinosaurs,2009-07-01,"Animation, Adventure, Comedy",6.9,94,217346
Hotel Transylvania,2012-09-28,"Animation, Comedy",7.1,91,217079
The Adventures of Tintin,2011-12-21,"Animation, Action, Adventure",7.3,107,212112
Minions,2015-07-10,"Animation, Adventure, Comedy",6.4,91,206432
Rio,2011-04-15,"Animation, Adventure, Comedy",6.9,96,201298
Cloudy with a Chance of Meatballs,2009-09-18,"Animation, Adventure, Comedy",6.9,90,198668
Hercules,1997-06-27,"Animation, Adventure, Comedy",7.3,93,198490
Madagascar: Escape 2 Africa,2008-11-07,"Animation, Adventure, Comedy",6.6,89,198485
Tarzan,1999-06-18,"Animation, Adventure",7.3,88,196820
The Lion King,2019-07-19,"Animation, Adventure, Drama",6.9,118,195404
Fantastic Mr. Fox,2009-11-25,"Animation, Adventure, Comedy",7.9,87,191094
